INFO:root:evaluating RGB images using GMM
INFO:root:ImsAndTruths43083.mat clusters: (2, 3, 5)
INFO:root:ImsAndTruths43083.mat score: 0.730272468257 clust: 2
INFO:root:ImsAndTruths43083.mat score: 0.724587276595 clust: 3
INFO:root:ImsAndTruths43083.mat score: 0.851198176932 clust: 5
INFO:root:ImsAndTruths153077.mat clusters: (2, 5, 7)
INFO:root:ImsAndTruths153077.mat score: 0.858257369799 clust: 2
INFO:root:ImsAndTruths153077.mat score: 0.895732193759 clust: 5
INFO:root:ImsAndTruths153077.mat score: 0.891354659206 clust: 7
INFO:root:ImsAndTruths138078.mat clusters: (2, 5, 4)
INFO:root:ImsAndTruths138078.mat score: 0.578421614469 clust: 2
INFO:root:ImsAndTruths138078.mat score: 0.734403575303 clust: 5
INFO:root:ImsAndTruths138078.mat score: 0.677131383215 clust: 4
INFO:root:ImsAndTruths80099.mat clusters: (3, 2, 4)
INFO:root:ImsAndTruths80099.mat score: 0.11439209747 clust: 3
INFO:root:ImsAndTruths80099.mat score: 0.115433819758 clust: 2
INFO:root:ImsAndTruths80099.mat score: 0.556866938147 clust: 4
INFO:root:ImsAndTruths311068.mat clusters: (2, 3, 4)
INFO:root:ImsAndTruths311068.mat score: 0.299421343697 clust: 2
INFO:root:ImsAndTruths311068.mat score: 0.343931594663 clust: 3
INFO:root:ImsAndTruths311068.mat score: 0.455029492062 clust: 4
INFO:root:ImsAndTruths246053.mat clusters: (2, 3, 4)
INFO:root:ImsAndTruths246053.mat score: 0.739010310725 clust: 2
INFO:root:ImsAndTruths246053.mat score: 0.732992103175 clust: 3
INFO:root:ImsAndTruths246053.mat score: 0.761119729953 clust: 4
INFO:root:ImsAndTruths104022.mat clusters: (2, 3, 4)
INFO:root:ImsAndTruths104022.mat score: 0.768014544645 clust: 2
INFO:root:ImsAndTruths104022.mat score: 0.816081175951 clust: 3
INFO:root:ImsAndTruths104022.mat score: 0.804691258434 clust: 4
INFO:root:ImsAndTruths122048.mat clusters: (3, 2, 4)
INFO:root:ImsAndTruths122048.mat score: 0.75088387098 clust: 3
INFO:root:ImsAndTruths122048.mat score: 0.751224725689 clust: 2
INFO:root:ImsAndTruths122048.mat score: 0.762442456621 clust: 4
INFO:root:ImsAndTruths189011.mat clusters: (2, 6, 4)
INFO:root:ImsAndTruths189011.mat score: 0.840028982979 clust: 2
INFO:root:ImsAndTruths189011.mat score: 0.84974271727 clust: 6
INFO:root:ImsAndTruths189011.mat score: 0.832361947646 clust: 4
INFO:root:ImsAndTruths42078.mat clusters: (4, 3, 2)
INFO:root:ImsAndTruths42078.mat score: 0.520939590441 clust: 4
INFO:root:ImsAndTruths42078.mat score: 0.499165309631 clust: 3
INFO:root:ImsAndTruths42078.mat score: 0.526516683931 clust: 2
INFO:root:ImsAndTruths188091.mat clusters: (2, 3, 4)
INFO:root:ImsAndTruths188091.mat score: 0.578982646248 clust: 2
INFO:root:ImsAndTruths188091.mat score: 0.564597575433 clust: 3
INFO:root:ImsAndTruths188091.mat score: 0.714377925149 clust: 4
INFO:root:ImsAndTruths54005.mat clusters: (2, 3, 4)
INFO:root:ImsAndTruths54005.mat score: 0.573584340393 clust: 2
INFO:root:ImsAndTruths54005.mat score: 0.746565045155 clust: 3
INFO:root:ImsAndTruths54005.mat score: 0.742194878951 clust: 4
INFO:root:ImsAndTruths90076.mat clusters: (3, 2, 4)
INFO:root:ImsAndTruths90076.mat score: 0.734562508184 clust: 3
INFO:root:ImsAndTruths90076.mat score: 0.794441953456 clust: 2
INFO:root:ImsAndTruths90076.mat score: 0.738757872036 clust: 4
INFO:root:ImsAndTruths370036.mat clusters: (2, 5, 3)
INFO:root:ImsAndTruths370036.mat score: 0.669746785997 clust: 2
INFO:root:ImsAndTruths370036.mat score: 0.676069257667 clust: 5
INFO:root:ImsAndTruths370036.mat score: 0.679895654245 clust: 3
INFO:root:ImsAndTruths155060.mat clusters: (2, 3, 4)
INFO:root:ImsAndTruths155060.mat score: 0.727045776309 clust: 2
INFO:root:ImsAndTruths155060.mat score: 0.801779347115 clust: 3
INFO:root:ImsAndTruths155060.mat score: 0.847280362021 clust: 4
INFO:root:ImsAndTruths178054.mat clusters: (2, 3, 4)
INFO:root:ImsAndTruths178054.mat score: 0.223026619618 clust: 2
INFO:root:ImsAndTruths178054.mat score: 0.618271291615 clust: 3
INFO:root:ImsAndTruths178054.mat score: 0.591046278493 clust: 4
INFO:root:ImsAndTruths145014.mat clusters: (2, 3, 4)
INFO:root:ImsAndTruths145014.mat score: 0.825507109059 clust: 2
INFO:root:ImsAndTruths145014.mat score: 0.840598598312 clust: 3
INFO:root:ImsAndTruths145014.mat score: 0.868431383946 clust: 4
INFO:root:ImsAndTruths134008.mat clusters: (3, 2, 5)
INFO:root:ImsAndTruths134008.mat score: 0.718162130595 clust: 3
INFO:root:ImsAndTruths134008.mat score: 0.250286562406 clust: 2
INFO:root:ImsAndTruths134008.mat score: 0.477955654076 clust: 5
INFO:root:ImsAndTruths388016.mat clusters: (2, 4, 5)
INFO:root:ImsAndTruths388016.mat score: 0.44299435296 clust: 2
INFO:root:ImsAndTruths388016.mat score: 0.777240136889 clust: 4
INFO:root:ImsAndTruths388016.mat score: 0.864800117156 clust: 5
INFO:root:ImsAndTruths159091.mat clusters: (2, 3, 4)
INFO:root:ImsAndTruths159091.mat score: 0.516263004015 clust: 2
INFO:root:ImsAndTruths159091.mat score: 0.730137113783 clust: 3
INFO:root:ImsAndTruths159091.mat score: 0.804116810631 clust: 4
INFO:root:ImsAndTruths87065.mat clusters: (2, 3, 5)
INFO:root:ImsAndTruths87065.mat score: 0.79251611714 clust: 2
INFO:root:ImsAndTruths87065.mat score: 0.815361401611 clust: 3
INFO:root:ImsAndTruths87065.mat score: 0.926487279251 clust: 5
INFO:root:ImsAndTruths245051.mat clusters: (3, 2, 4)
INFO:root:ImsAndTruths245051.mat score: 0.716615792432 clust: 3
INFO:root:ImsAndTruths245051.mat score: 0.762912983389 clust: 2
INFO:root:ImsAndTruths245051.mat score: 0.721821484107 clust: 4
INFO:root:ImsAndTruths242078.mat clusters: (2, 3, 4)
