INFO:root:evaluating RGB images using som
INFO:root:ImsAndTruths124084.mat clusters: [3, 22, 16]
INFO:root:ImsAndTruths124084.mat score: 0.7287673404214523 clust: 3
INFO:root:ImsAndTruths124084.mat score: 0.9653321418553692 clust: 22
INFO:root:ImsAndTruths124084.mat score: 0.9568475350794551 clust: 16
INFO:root:ImsAndTruths126039.mat clusters: [7, 5, 17]
INFO:root:ImsAndTruths126039.mat score: 0.8303688700136667 clust: 7
INFO:root:ImsAndTruths126039.mat score: 0.8671540092062778 clust: 5
INFO:root:ImsAndTruths126039.mat score: 0.9626081348872579 clust: 17
INFO:root:ImsAndTruths130034.mat clusters: [2, 1, 1]
INFO:root:ImsAndTruths130034.mat score: 0.6869104195966536 clust: 2
INFO:root:ImsAndTruths130034.mat score: 0.2524896677988877 clust: 1
INFO:root:ImsAndTruths130034.mat score: 0.2524896677988877 clust: 1
INFO:root:ImsAndTruths134008.mat clusters: [1, 2, 2]
INFO:root:ImsAndTruths134008.mat score: 0.2686400148198099 clust: 1
INFO:root:ImsAndTruths134008.mat score: 0.6097928003766455 clust: 2
INFO:root:ImsAndTruths134008.mat score: 0.6097928003766455 clust: 2
INFO:root:ImsAndTruths134052.mat clusters: [3, 2, 3]
INFO:root:ImsAndTruths134052.mat score: 0.7847318516965024 clust: 3
INFO:root:ImsAndTruths134052.mat score: 0.6403988350773979 clust: 2
INFO:root:ImsAndTruths134052.mat score: 0.7847318516965024 clust: 3
INFO:root:ImsAndTruths135037.mat clusters: [1, 1, 6]
INFO:root:ImsAndTruths135037.mat score: 0.1391014180474226 clust: 1
INFO:root:ImsAndTruths135037.mat score: 0.1391014180474226 clust: 1
INFO:root:ImsAndTruths135037.mat score: 0.7550921668204315 clust: 6
INFO:root:ImsAndTruths135069.mat clusters: [1, 1, 1]
INFO:root:ImsAndTruths135069.mat score: 0.09959814625865951 clust: 1
INFO:root:ImsAndTruths135069.mat score: 0.09959814625865951 clust: 1
INFO:root:ImsAndTruths135069.mat score: 0.09959814625865951 clust: 1
INFO:root:ImsAndTruths138032.mat clusters: [8, 1, 15]
INFO:root:ImsAndTruths138032.mat score: 0.9648432896699778 clust: 8
INFO:root:ImsAndTruths138032.mat score: 0.19269974949514812 clust: 1
INFO:root:ImsAndTruths138032.mat score: 0.9893447030329934 clust: 15
INFO:root:ImsAndTruths138078.mat clusters: [4, 5, 23]
INFO:root:ImsAndTruths138078.mat score: 0.7720473676691797 clust: 4
INFO:root:ImsAndTruths138078.mat score: 0.8048936779978001 clust: 5
INFO:root:ImsAndTruths138078.mat score: 0.9589848737385706 clust: 23
INFO:root:ImsAndTruths140055.mat clusters: [5, 7, 10]
INFO:root:ImsAndTruths140055.mat score: 0.859609449534608 clust: 5
INFO:root:ImsAndTruths140055.mat score: 0.9333166508186445 clust: 7
INFO:root:ImsAndTruths140055.mat score: 0.965113901101707 clust: 10
INFO:root:ImsAndTruths140075.mat clusters: [7, 5, 31]
INFO:root:ImsAndTruths140075.mat score: 0.9450721032384332 clust: 7
INFO:root:ImsAndTruths140075.mat score: 0.9294319141269222 clust: 5
INFO:root:ImsAndTruths140075.mat score: 0.9900616017518202 clust: 31
INFO:root:ImsAndTruths144067.mat clusters: [6, 7, 4]
INFO:root:ImsAndTruths144067.mat score: 0.8684411565533487 clust: 6
INFO:root:ImsAndTruths144067.mat score: 0.8819272819633537 clust: 7
INFO:root:ImsAndTruths144067.mat score: 0.8125001739631555 clust: 4
INFO:root:ImsAndTruths145014.mat clusters: [7, 24, 13]
INFO:root:ImsAndTruths145014.mat score: 0.945443184504861 clust: 7
INFO:root:ImsAndTruths145014.mat score: 0.9820399584670236 clust: 24
INFO:root:ImsAndTruths145014.mat score: 0.9712706351601208 clust: 13
INFO:root:ImsAndTruths145053.mat clusters: [6, 15, 11]
INFO:root:ImsAndTruths145053.mat score: 0.9495729835800631 clust: 6
INFO:root:ImsAndTruths145053.mat score: 0.9751792842997187 clust: 15
INFO:root:ImsAndTruths145053.mat score: 0.9695110287514489 clust: 11
INFO:root:ImsAndTruths147021.mat clusters: [4, 3, 3]
