INFO:root:evaluating RGB images using Spectral
INFO:root:ImsAndTruths173036.mat clusters: [5, 5, 4]
INFO:root:ImsAndTruths173036.mat score: 0.8525852279973309 clust: 5
INFO:root:ImsAndTruths173036.mat score: 0.8301428097561625 clust: 5
INFO:root:ImsAndTruths173036.mat score: 0.7867020610961784 clust: 4
INFO:root:ImsAndTruths43083.mat clusters: [8, 6, 2]
INFO:root:ImsAndTruths43083.mat score: 0.9625878872497013 clust: 8
INFO:root:ImsAndTruths43083.mat score: 0.9170008664708414 clust: 6
INFO:root:ImsAndTruths43083.mat score: 0.6602551039901954 clust: 2
INFO:root:ImsAndTruths153077.mat clusters: [10, 12, 8]
INFO:root:ImsAndTruths153077.mat score: 0.96258662477929 clust: 10
INFO:root:ImsAndTruths153077.mat score: 0.9581724521889858 clust: 12
INFO:root:ImsAndTruths153077.mat score: 0.9561509618676878 clust: 8
INFO:root:ImsAndTruths138078.mat clusters: [4, 5, 23]
INFO:root:ImsAndTruths138078.mat score: 0.6699788001049216 clust: 4
INFO:root:ImsAndTruths138078.mat score: 0.6915575331908165 clust: 5
INFO:root:ImsAndTruths138078.mat score: 0.9902019022051171 clust: 23
INFO:root:ImsAndTruths80099.mat clusters: [1, 1, 1]
INFO:root:ImsAndTruths80099.mat score: 0.11099443067300521 clust: 1
INFO:root:ImsAndTruths80099.mat score: 0.11099443067300521 clust: 1
INFO:root:ImsAndTruths80099.mat score: 0.11099443067300521 clust: 1
INFO:root:ImsAndTruths311068.mat clusters: [4, 6, 6]
INFO:root:ImsAndTruths311068.mat score: 0.49748079952027835 clust: 4
INFO:root:ImsAndTruths311068.mat score: 0.6442067960618824 clust: 6
INFO:root:ImsAndTruths311068.mat score: 0.7564803952367328 clust: 6
INFO:root:ImsAndTruths246053.mat clusters: [5, 11, 5]
INFO:root:ImsAndTruths246053.mat score: 0.8475480700164828 clust: 5
INFO:root:ImsAndTruths246053.mat score: 0.9699369318655752 clust: 11
INFO:root:ImsAndTruths246053.mat score: 0.8766688637640468 clust: 5
INFO:root:ImsAndTruths104022.mat clusters: [11, 10, 9]
INFO:root:ImsAndTruths104022.mat score: 0.9830988873326267 clust: 11
INFO:root:ImsAndTruths104022.mat score: 0.9846398811705322 clust: 10
INFO:root:ImsAndTruths104022.mat score: 0.9816465845029906 clust: 9
INFO:root:ImsAndTruths122048.mat clusters: [6, 8, 8]
INFO:root:ImsAndTruths122048.mat score: 0.7700274488258088 clust: 6
INFO:root:ImsAndTruths122048.mat score: 0.7698622148092009 clust: 8
INFO:root:ImsAndTruths122048.mat score: 0.8408378139916156 clust: 8
INFO:root:ImsAndTruths189011.mat clusters: [7, 8, 8]
INFO:root:ImsAndTruths189011.mat score: 0.9332537412807109 clust: 7
INFO:root:ImsAndTruths189011.mat score: 0.960556600154087 clust: 8
INFO:root:ImsAndTruths189011.mat score: 0.9741735174416815 clust: 8
INFO:root:ImsAndTruths42078.mat clusters: [3, 3, 3]
INFO:root:ImsAndTruths42078.mat score: 0.5252864314025334 clust: 3
INFO:root:ImsAndTruths42078.mat score: 0.5266120840797266 clust: 3
INFO:root:ImsAndTruths42078.mat score: 0.5244021537521333 clust: 3
INFO:root:ImsAndTruths188091.mat clusters: [2, 1, 1]
INFO:root:ImsAndTruths188091.mat score: 0.24693305050249137 clust: 2
INFO:root:ImsAndTruths188091.mat score: 0.24693305050249137 clust: 1
INFO:root:ImsAndTruths188091.mat score: 0.24693305050249137 clust: 1
INFO:root:ImsAndTruths54005.mat clusters: [6, 1, 4]
INFO:root:ImsAndTruths54005.mat score: 0.8941937114812466 clust: 6
INFO:root:ImsAndTruths54005.mat score: 0.05931925866103804 clust: 1
INFO:root:ImsAndTruths54005.mat score: 0.7400095310230563 clust: 4
INFO:root:ImsAndTruths90076.mat clusters: [8, 5, 6]
INFO:root:ImsAndTruths90076.mat score: 0.9692033810698448 clust: 8
INFO:root:ImsAndTruths90076.mat score: 0.9145137287572448 clust: 5
INFO:root:ImsAndTruths90076.mat score: 0.9339961457220449 clust: 6
INFO:root:ImsAndTruths370036.mat clusters: [15, 11, 14]
INFO:root:ImsAndTruths370036.mat score: 0.9901204560816478 clust: 15
INFO:root:ImsAndTruths370036.mat score: 0.9740498141874437 clust: 11
INFO:root:ImsAndTruths370036.mat score: 0.9906924686093624 clust: 14
INFO:root:ImsAndTruths155060.mat clusters: [5, 4, 4]
INFO:root:ImsAndTruths155060.mat score: 0.8892094260600198 clust: 5
INFO:root:ImsAndTruths155060.mat score: 0.8047667672210811 clust: 4
INFO:root:ImsAndTruths155060.mat score: 0.8593746271924393 clust: 4
INFO:root:ImsAndTruths178054.mat clusters: [3, 2, 4]
INFO:root:ImsAndTruths178054.mat score: 0.7552977173622606 clust: 3
INFO:root:ImsAndTruths178054.mat score: 0.249053989875307 clust: 2
INFO:root:ImsAndTruths178054.mat score: 0.7699501450521029 clust: 4
INFO:root:ImsAndTruths145014.mat clusters: [7, 24, 13]
INFO:root:ImsAndTruths145014.mat score: 0.9329928718977933 clust: 7
INFO:root:ImsAndTruths145014.mat score: 0.9914607468166623 clust: 24
INFO:root:ImsAndTruths145014.mat score: 0.9839727668315907 clust: 13
INFO:root:ImsAndTruths134008.mat clusters: [1, 2, 2]
INFO:root:ImsAndTruths134008.mat score: 0.2686400148198099 clust: 1
INFO:root:ImsAndTruths134008.mat score: 0.4580185516445694 clust: 2
INFO:root:ImsAndTruths134008.mat score: 0.4580185516445694 clust: 2
INFO:root:ImsAndTruths388016.mat clusters: [25, 3, 25]
INFO:root:ImsAndTruths388016.mat score: 0.9953922348269231 clust: 25
INFO:root:ImsAndTruths388016.mat score: 0.7492839429270702 clust: 3
INFO:root:ImsAndTruths388016.mat score: 0.9949290030861379 clust: 25
INFO:root:ImsAndTruths159091.mat clusters: [3, 6, 2]
INFO:root:ImsAndTruths159091.mat score: 0.6906730422717123 clust: 3
INFO:root:ImsAndTruths159091.mat score: 0.8791336029975887 clust: 6
INFO:root:ImsAndTruths159091.mat score: 0.3912001025330153 clust: 2
INFO:root:ImsAndTruths87065.mat clusters: [3, 3, 3]
INFO:root:ImsAndTruths87065.mat score: 0.6747420500634328 clust: 3
