INFO:root:evaluating RGB images using FCM
INFO:root:ImsAndTruths173036.mat clusters: [5, 5, 4]
INFO:root:ImsAndTruths173036.mat score: 0.912617338278974 clust: 5
INFO:root:ImsAndTruths173036.mat score: 0.9115475890776745 clust: 5
INFO:root:ImsAndTruths173036.mat score: 0.8679847493177434 clust: 4
INFO:root:ImsAndTruths43083.mat clusters: [8, 6, 2]
INFO:root:ImsAndTruths43083.mat score: 0.9877048982395464 clust: 8
INFO:root:ImsAndTruths43083.mat score: 0.9653062722934617 clust: 6
INFO:root:ImsAndTruths43083.mat score: 0.8081756164612222 clust: 2
INFO:root:ImsAndTruths153077.mat clusters: [10, 12, 8]
INFO:root:ImsAndTruths153077.mat score: 0.925141196890892 clust: 10
INFO:root:ImsAndTruths153077.mat score: 0.9506330257288813 clust: 12
INFO:root:ImsAndTruths153077.mat score: 0.9183763010826625 clust: 8
INFO:root:ImsAndTruths138078.mat clusters: [4, 5, 23]
INFO:root:ImsAndTruths138078.mat score: 0.7958223280651623 clust: 4
INFO:root:ImsAndTruths138078.mat score: 0.8719122110535757 clust: 5
INFO:root:ImsAndTruths138078.mat score: 0.9834881375267791 clust: 23
INFO:root:ImsAndTruths80099.mat clusters: [1, 1, 1]
INFO:root:ImsAndTruths80099.mat score: 0.11099443067300521 clust: 1
INFO:root:ImsAndTruths80099.mat score: 0.11099443067300521 clust: 1
INFO:root:ImsAndTruths80099.mat score: 0.11099443067300521 clust: 1
INFO:root:ImsAndTruths311068.mat clusters: [4, 6, 6]
INFO:root:ImsAndTruths311068.mat score: 0.9520518289820626 clust: 4
INFO:root:ImsAndTruths311068.mat score: 0.9570355434321776 clust: 6
INFO:root:ImsAndTruths311068.mat score: 0.9592321912065873 clust: 6
INFO:root:ImsAndTruths246053.mat clusters: [5, 11, 5]
INFO:root:ImsAndTruths246053.mat score: 0.9294200533476941 clust: 5
INFO:root:ImsAndTruths246053.mat score: 0.9719900713179359 clust: 11
INFO:root:ImsAndTruths246053.mat score: 0.9198528249549112 clust: 5
INFO:root:ImsAndTruths104022.mat clusters: [11, 10, 9]
INFO:root:ImsAndTruths104022.mat score: 0.9950791187656063 clust: 11
INFO:root:ImsAndTruths104022.mat score: 0.9940708948123453 clust: 10
INFO:root:ImsAndTruths104022.mat score: 0.9941360880865635 clust: 9
INFO:root:ImsAndTruths122048.mat clusters: [6, 8, 8]
INFO:root:ImsAndTruths122048.mat score: 0.8352403311800956 clust: 6
INFO:root:ImsAndTruths122048.mat score: 0.8432206140334797 clust: 8
INFO:root:ImsAndTruths122048.mat score: 0.8483824293011003 clust: 8
INFO:root:ImsAndTruths189011.mat clusters: [7, 8, 8]
INFO:root:ImsAndTruths189011.mat score: 0.926511884834228 clust: 7
INFO:root:ImsAndTruths189011.mat score: 0.9555997926317811 clust: 8
INFO:root:ImsAndTruths189011.mat score: 0.9124944933029814 clust: 8
