INFO:root:evaluating RGB images using Kmeans
INFO:root:ImsAndTruths43083.mat clusters: [8, 6, 2]
INFO:root:ImsAndTruths43083.mat score: 0.945819741435 clust: 8
INFO:root:ImsAndTruths43083.mat score: 0.919414638188 clust: 6
INFO:root:ImsAndTruths43083.mat score: 0.774286515519 clust: 2
INFO:root:ImsAndTruths153077.mat clusters: [10, 12, 8]
INFO:root:ImsAndTruths153077.mat score: 0.905340527416 clust: 10
INFO:root:ImsAndTruths153077.mat score: 0.917808182795 clust: 12
INFO:root:ImsAndTruths153077.mat score: 0.922975618865 clust: 8
INFO:root:ImsAndTruths138078.mat clusters: [4, 5, 23]
INFO:root:ImsAndTruths138078.mat score: 0.813194108229 clust: 4
INFO:root:ImsAndTruths138078.mat score: 0.817055090401 clust: 5
INFO:root:ImsAndTruths138078.mat score: 0.97376913806 clust: 23
INFO:root:ImsAndTruths80099.mat clusters: [1, 1, 1]
INFO:root:ImsAndTruths80099.mat score: 0.110994430673 clust: 1
INFO:root:ImsAndTruths80099.mat score: 0.110994430673 clust: 1
INFO:root:ImsAndTruths80099.mat score: 0.110994430673 clust: 1
INFO:root:ImsAndTruths311068.mat clusters: [4, 6, 6]
INFO:root:ImsAndTruths311068.mat score: 0.873935704468 clust: 4
INFO:root:ImsAndTruths311068.mat score: 0.896246042377 clust: 6
INFO:root:ImsAndTruths311068.mat score: 0.834172752499 clust: 6
INFO:root:ImsAndTruths246053.mat clusters: [5, 11, 5]
INFO:root:ImsAndTruths246053.mat score: 0.866845042546 clust: 5
INFO:root:ImsAndTruths246053.mat score: 0.955094729814 clust: 11
INFO:root:ImsAndTruths246053.mat score: 0.887631469291 clust: 5
INFO:root:ImsAndTruths104022.mat clusters: [11, 10, 9]
INFO:root:ImsAndTruths104022.mat score: 0.992734641402 clust: 11
INFO:root:ImsAndTruths104022.mat score: 0.986473625977 clust: 10
INFO:root:ImsAndTruths104022.mat score: 0.971084613777 clust: 9
INFO:root:ImsAndTruths122048.mat clusters: [6, 8, 8]
INFO:root:ImsAndTruths122048.mat score: 0.825976933798 clust: 6
INFO:root:ImsAndTruths122048.mat score: 0.832518000002 clust: 8
INFO:root:ImsAndTruths122048.mat score: 0.835136335089 clust: 8
INFO:root:ImsAndTruths189011.mat clusters: [7, 8, 8]
INFO:root:ImsAndTruths189011.mat score: 0.88830299456 clust: 7
INFO:root:ImsAndTruths189011.mat score: 0.902117189622 clust: 8
INFO:root:ImsAndTruths189011.mat score: 0.892192353675 clust: 8
INFO:root:ImsAndTruths42078.mat clusters: [3, 3, 3]
INFO:root:ImsAndTruths42078.mat score: 0.527708328369 clust: 3
INFO:root:ImsAndTruths42078.mat score: 0.500726419139 clust: 3
INFO:root:ImsAndTruths42078.mat score: 0.527602127302 clust: 3
INFO:root:ImsAndTruths188091.mat clusters: [2, 1, 1]
INFO:root:ImsAndTruths188091.mat score: 0.558076692367 clust: 2
INFO:root:ImsAndTruths188091.mat score: 0.246933050502 clust: 1
INFO:root:ImsAndTruths188091.mat score: 0.246933050502 clust: 1
INFO:root:ImsAndTruths54005.mat clusters: [6, 1, 4]
INFO:root:ImsAndTruths54005.mat score: 0.936140870656 clust: 6
INFO:root:ImsAndTruths54005.mat score: 0.059319258661 clust: 1
INFO:root:ImsAndTruths54005.mat score: 0.907802034011 clust: 4
INFO:root:ImsAndTruths90076.mat clusters: [8, 5, 6]
INFO:root:ImsAndTruths90076.mat score: 0.915227641534 clust: 8
INFO:root:ImsAndTruths90076.mat score: 0.891323699823 clust: 5
INFO:root:ImsAndTruths90076.mat score: 0.894307148897 clust: 6
INFO:root:ImsAndTruths370036.mat clusters: [15, 11, 14]
INFO:root:ImsAndTruths370036.mat score: 0.969672227417 clust: 15
INFO:root:ImsAndTruths370036.mat score: 0.916009873584 clust: 11
INFO:root:ImsAndTruths370036.mat score: 0.983094283968 clust: 14
INFO:root:ImsAndTruths155060.mat clusters: [5, 4, 4]
INFO:root:ImsAndTruths155060.mat score: 0.914240449829 clust: 5
INFO:root:ImsAndTruths155060.mat score: 0.880385385501 clust: 4
INFO:root:ImsAndTruths155060.mat score: 0.872841554139 clust: 4
INFO:root:ImsAndTruths178054.mat clusters: [3, 2, 4]
INFO:root:ImsAndTruths178054.mat score: 0.685218760098 clust: 3
INFO:root:ImsAndTruths178054.mat score: 0.628879841432 clust: 2
INFO:root:ImsAndTruths178054.mat score: 0.830351509763 clust: 4
INFO:root:ImsAndTruths145014.mat clusters: [7, 24, 13]
INFO:root:ImsAndTruths145014.mat score: 0.942603301445 clust: 7
INFO:root:ImsAndTruths145014.mat score: 0.985554855289 clust: 24
INFO:root:ImsAndTruths145014.mat score: 0.974606475034 clust: 13
INFO:root:ImsAndTruths134008.mat clusters: [1, 2, 2]
INFO:root:ImsAndTruths134008.mat score: 0.26864001482 clust: 1
INFO:root:ImsAndTruths134008.mat score: 0.755545324099 clust: 2
INFO:root:ImsAndTruths134008.mat score: 0.755545324099 clust: 2
INFO:root:ImsAndTruths388016.mat clusters: [25, 3, 25]
INFO:root:ImsAndTruths388016.mat score: 0.990569887496 clust: 25
INFO:root:ImsAndTruths388016.mat score: 0.737469816582 clust: 3
INFO:root:ImsAndTruths388016.mat score: 0.983295769957 clust: 25
INFO:root:ImsAndTruths159091.mat clusters: [3, 6, 2]
INFO:root:ImsAndTruths159091.mat score: 0.848366722705 clust: 3
INFO:root:ImsAndTruths159091.mat score: 0.961191494346 clust: 6
INFO:root:ImsAndTruths159091.mat score: 0.605730391292 clust: 2
INFO:root:ImsAndTruths87065.mat clusters: [3, 3, 3]
INFO:root:ImsAndTruths87065.mat score: 0.851615869853 clust: 3
INFO:root:ImsAndTruths87065.mat score: 0.928747591949 clust: 3
INFO:root:ImsAndTruths87065.mat score: 0.853912767471 clust: 3
INFO:root:ImsAndTruths245051.mat clusters: [10, 8, 8]
INFO:root:ImsAndTruths245051.mat score: 0.935275929116 clust: 10
INFO:root:ImsAndTruths245051.mat score: 0.884347914751 clust: 8
INFO:root:ImsAndTruths245051.mat score: 0.902302498217 clust: 8
INFO:root:ImsAndTruths242078.mat clusters: [3, 21, 45]
INFO:root:ImsAndTruths242078.mat score: 0.911647845927 clust: 3
INFO:root:ImsAndTruths242078.mat score: 0.987336517064 clust: 21
INFO:root:ImsAndTruths242078.mat score: 0.993555239654 clust: 45
INFO:root:ImsAndTruths365073.mat clusters: [7, 8, 12]
INFO:root:ImsAndTruths365073.mat score: 0.972754744196 clust: 7
INFO:root:ImsAndTruths365073.mat score: 0.976062584557 clust: 8
INFO:root:ImsAndTruths365073.mat score: 0.988984412238 clust: 12
INFO:root:ImsAndTruths326038.mat clusters: [4, 2, 4]
INFO:root:ImsAndTruths326038.mat score: 0.888306741651 clust: 4
INFO:root:ImsAndTruths326038.mat score: 0.59046533385 clust: 2
INFO:root:ImsAndTruths326038.mat score: 0.811074903433 clust: 4
INFO:root:ImsAndTruths181079.mat clusters: [5, 5, 13]
INFO:root:ImsAndTruths181079.mat score: 0.896699038917 clust: 5
INFO:root:ImsAndTruths181079.mat score: 0.884295364263 clust: 5
INFO:root:ImsAndTruths181079.mat score: 0.966644992023 clust: 13
INFO:root:ImsAndTruths65010.mat clusters: [9, 6, 5]
INFO:root:ImsAndTruths65010.mat score: 0.958992974312 clust: 9
INFO:root:ImsAndTruths65010.mat score: 0.932025969002 clust: 6
INFO:root:ImsAndTruths65010.mat score: 0.898744760327 clust: 5
INFO:root:ImsAndTruths225017.mat clusters: [4, 4, 5]
INFO:root:ImsAndTruths225017.mat score: 0.827972315498 clust: 4
INFO:root:ImsAndTruths225017.mat score: 0.800112912014 clust: 4
INFO:root:ImsAndTruths225017.mat score: 0.860609647404 clust: 5
INFO:root:ImsAndTruths41025.mat clusters: [6, 4, 4]
INFO:root:ImsAndTruths41025.mat score: 0.925052526533 clust: 6
INFO:root:ImsAndTruths41025.mat score: 0.887596760368 clust: 4
INFO:root:ImsAndTruths41025.mat score: 0.909474043827 clust: 4
INFO:root:ImsAndTruths27059.mat clusters: [10, 8, 9]
INFO:root:ImsAndTruths27059.mat score: 0.940053320698 clust: 10
INFO:root:ImsAndTruths27059.mat score: 0.927980799468 clust: 8
INFO:root:ImsAndTruths27059.mat score: 0.944321255789 clust: 9
INFO:root:ImsAndTruths12074.mat clusters: [2, 4, 4]
INFO:root:ImsAndTruths12074.mat score: 0.568237144986 clust: 2
INFO:root:ImsAndTruths12074.mat score: 0.725591976301 clust: 4
INFO:root:ImsAndTruths12074.mat score: 0.686767394562 clust: 4
INFO:root:ImsAndTruths151087.mat clusters: [9, 5, 8]
INFO:root:ImsAndTruths151087.mat score: 0.914968143062 clust: 9
INFO:root:ImsAndTruths151087.mat score: 0.905486148219 clust: 5
INFO:root:ImsAndTruths151087.mat score: 0.91071976581 clust: 8
INFO:root:ImsAndTruths56028.mat clusters: [3, 3, 45]
INFO:root:ImsAndTruths56028.mat score: 0.7855122436 clust: 3
INFO:root:ImsAndTruths56028.mat score: 0.894935879326 clust: 3
INFO:root:ImsAndTruths56028.mat score: 0.994863752514 clust: 45
INFO:root:ImsAndTruths183087.mat clusters: [3, 7, 6]
INFO:root:ImsAndTruths183087.mat score: 0.88044003652 clust: 3
INFO:root:ImsAndTruths183087.mat score: 0.961833416701 clust: 7
INFO:root:ImsAndTruths183087.mat score: 0.949525229089 clust: 6
INFO:root:ImsAndTruths140055.mat clusters: [5, 7, 10]
INFO:root:ImsAndTruths140055.mat score: 0.895366517671 clust: 5
INFO:root:ImsAndTruths140055.mat score: 0.942529925918 clust: 7
INFO:root:ImsAndTruths140055.mat score: 0.969767961109 clust: 10
INFO:root:ImsAndTruths365025.mat clusters: [5, 5, 5]
